1,Max Walef,356,5,2.88,1.4,2.35
5,Edinho,286,4,1.59,0,-0.44
4,Lucas Lima,356,12,3.93,2.31,2.46
2,Tinga,356,4,3.9,2.37,2.25
5,Igor Torres,356,4,1.77,-0.08,0.31
4,Gustavo Mantuan,264,13,9.2,4.36,0.93
4,Lucas Crispim,356,11,2.16,0,0.83
5,Cléber,354,9,3.31,2.76,0.17
4,Roni,264,6,0.76,-0.63,-0.15
5,Moisés,356,14,5.63,3.31,1.41
5,Depietri,356,8,1.76,0.11,-0.04
5,Romarinho,356,7,4.25,4.47,5.21
5,Robson,356,10,7.73,3.67,10.27
1,Vinicius Machado,354,2,2.64,5.5,3.35
5,Gabriel Veron,275,10,5.23,3.99,1.14
4,Giuliano,264,11,4.85,1.4,0.37
3,Kaíque Rocha,285,2,3.95,3.7,4.49
4,Renato,314,4,3.48,1.62,1.9
5,Wesley Moraes,285,6,2.83,0.83,2.04
3,Gil,264,9,8.59,4.92,7.75
2,Auro,277,4,3.05,1.73,1.18
4,Liziero,285,4,3.68,0.98,1.19
4,Igor Gomes,276,13,5.39,1.7,0.59
3,Lucas Ribeiro,354,4,5.27,1.75,1.56
5,Wesley,275,9,5.93,2.95,9.04
4,Luan,264,0,6,0,7.15
5,Sorriso,280,11,4.73,1.75,0.8
3,Murilo,275,13,8.69,4.74,2.05
3,Renan,280,3,4.28,4.2,4.49
5,Léo Baptistão ,277,12,10.43,5.91,5.18
4,Geovane,354,9,0.93,0.49,0.06
3,Eduardo Bauermann,277,12,8.84,3.54,1.2
2,Fábio Santos,264,8,6.39,4.75,0.49
5,Rômulo,293,5,4.2,3.86,4.16
4,Jobson,277,0,4,0,4.77
2,Cougo,314,0,3,0,3.59
2,Vanderlan,275,1,3.29,4.6,4.13
2,Hayner,373,12,4.59,2.78,2.76
4,Danilo,275,11,6.35,2.7,3.1
4,Luan,276,2,5.04,0.75,1.9
4,Gabriel Pirani,1371,3,2.13,0.3,0.77
4,Vinícius Balieiro,277,0,4,0,4.77
4,Felipe,356,9,6.74,3.3,6.78
4,Carlos Sánchez,277,1,4.39,-0.3,0.41
1,John Victor,277,1,5.92,8,6.62
3,Diego,276,13,6.02,1.98,0.3
3,Léo,276,13,4.68,1.47,0.43
4,Lucas Barbosa,277,5,1.65,1.42,1.02
3,Tiago Barbosa,285,0,2,0,2.4
